股票代码,市场,名称,标的类型,pe,市值,所属板块,满足的条件,主力流出风险,主力风险分,主力风险信号,主力风险说明,资金与盘面观察,资金流向数据,盘口数据,龙虎榜数据,成交量分布数据,左一方向,左一日期,左一顶,左一底,左一支撑区间,左一中位线日期,左一突破日期,左一突破用时
SH.600382,A股,广东明珠,股票,,,铁矿石,左一战法-看跌|放量超前三日,低,0.00,,暂未看到明确主力流出迹象,资金流向: 暂无明细；成交量分布: 现价9.56；近120日成交量加权价8.59；高于11.3%；最大成交量区间9.04~9.40，占比20.7%；样本120日，总成交量28.01亿股,接口异常:AkShare,不适用,数据不足:AkShare,接口异常:AkShare,看跌,2026-04-16,10.2,9.2,9.2~10.2,2026-04-17,2026-04-29,8
SZ.002436,A股,兴森科技,股票,,,Technology,左一战法-看跌|RSI超买,低,0.00,,暂未看到明确主力流出迹象,资金流向: 暂无明细；成交量分布: 现价35.42；近120日成交量加权价25.23；高于40.4%；最大成交量区间22.01~23.69，占比18.0%；样本120日，总成交量120.49亿股,接口异常:AkShare,不适用,数据不足:AkShare,接口异常:AkShare,看跌,2026-05-13,34.5,32.23,32.23~34.5,2026-05-14,2026-05-15,1
SZ.002636,A股,金安国纪,股票,,,Technology,左一战法-看跌|放量超前三日,低,0.00,,暂未看到明确主力流出迹象,资金流向: 暂无明细；成交量分布: 现价46.27；近120日成交量加权价29.35；高于57.7%；最大成交量区间14.09~17.67，占比21.9%；样本120日，总成交量47.81亿股,接口异常:AkShare,不适用,数据不足:AkShare,接口异常:AkShare,看跌,2026-05-06,47.75,43.5,43.5~47.75,2026-05-07,2026-05-15,6
